X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59	y60	y61	y62	y63	y64	y65	y66	y67	y68	y69	y70	y71	y72	y73	y74	y75	y76	y77	y78	y79	y80	y81	y82	y83	y84	y85	y86	y87	y88	y89	y90	y91	y92	y93	y94	y95	y96	y97	y98	y99
x0	-15.19	-4.5	-13.7	18.4	-13.24	5.66	-4.91	5.68	8.99	6.02	1.57	-9.18	-5	10.99	4.74	8.22	-8.89	6.55	-16.63	-12.98	4.75	-7.87	22.76	-1.45	-5.99	16.56	-4.01	-10.63	14.79	11.82	5.64	3.31	3.98	4.18	12.23	-3.78	6.78	-6.86	-4.02	4.53	-0.22	-6.69	1.04	-17.23	7.86	-13.36	5.88	-5.88	3	3.76	-1.94	-5.29	2.33	-10.72	-1.19	7.42	4.29	2.17	16.45	3.41	-16.61	5.78	6.27	8.17	15.2	10.31	-7.69	-0.2	26.76	-11.87	-4.3	-14.7	22.67	-3.55	12.15	-1.85	3.96	0.23	2.02	7.26	-5.36	10.79	-5.36	-4.66	11.16	4.68	-1.51	-21.06	20.76	10.66	7.59	11.93	15.5	-1.62	-6.53	-5.42	1.73	10.78	11.27	-4.76
x1	7.48	-3.36	6.8	-0.02	-5.04	2.66	0.87	4.81	-6.64	10.61	-5.06	-5.02	13.95	5.62	1.48	6.48	8.23	-0.91	-6.43	35.93	-8.59	-7.41	-1.76	-4	92.95	83.95	73.32	70.18	58.61	45.29	38.21	31.57	31.52	23.74	20.53	12.87	-13.78	-29.18	-29.69	-32.22	-56.88	-70.13	5.67	1.55	4.85	-23.86	-5.57	-9.97	-12.3	-13.13	18.09	-0.55	4.21	13.73	-13.55	-7.06	-5.09	-20.25	0.91	1.1	-9.53	9.71	-4.2	5.8	7.66	-0.47	-13.37	15.59	7.98	-14.76	-7.42	6.33	21.97	4.37	-5.45	-12.34	-14.46	6.07	-10.75	4.81	6.05	4.25	-4.18	-2.38	-11.71	-9.4	-1.55	-2.41	-1.1	1.62	17.34	-8.35	-12.37	7.11	4.84	12.95	13.25	-16.11	-6.41	9.33
x2	-9.04	0.61	7.6	-2.05	13.16	9.41	-7.98	2.61	-9.24	-14.2	-3.93	-1.85	-0.68	-22.4	0.24	6.66	12.62	-5.65	15.85	9.96	1.34	4.4	9.13	4.79	2.23	-7.64	-12.91	-4.45	-4.73	-8.8	-4.64	-6.51	-11.07	-7.5	5.53	0.85	12.36	-10.13	-2.09	14.03	-15.7	6.68	-2.92	-9.2	-11.29	9.88	13.17	3.12	-1.2	1.48	-4.36	0.09	10.53	2.85	-12.4	4.63	10.92	-10.48	-0.69	-6.42	-19.42	6.93	-4.95	-13.8	-8.92	-4.29	2.09	-10.71	-6.72	11.85	8.53	-3.13	-16.23	-15.18	6.59	1.61	10.52	3.03	-1.94	3.83	-0.17	-4.57	-3.01	-3.81	-5.97	3	5.98	-3.63	-2.53	7.49	5.45	-22.48	27.64	1.82	-3.21	4.28	-0.15	-20.47	-15.22	8.8
x3	-7.68	3.2	-5	1.04	9	3.01	97.4	84.73	74.5	73.38	72.8	70.28	17.65	-21.87	-39.01	-46.66	-72.01	-0.43	-13.36	-3.24	-12.61	-1.2	1.82	6.43	92.7	87.91	68.44	59.53	56.69	51.64	45.06	26.92	10.94	9.92	8.65	5.44	4.21	-11.62	-62.61	-67.84	-88.02	-91.22	1.91	-12.3	10.52	8.97	-0.98	-10.87	-2.19	10.03	-5.15	-12.09	-6.96	-21.3	5.87	-4.05	-0.67	-9.74	1.28	-5.68	5.72	8.35	4.45	3.47	3.52	-25.34	5.92	-1.76	-3.99	-8.12	6.42	0.93	-10.14	-19.28	-7.88	-3.26	-8.52	4.1	-4.13	-8.4	6.38	4.11	-2.98	-1.51	10.73	5.99	15.22	-0.13	-9.79	11.39	-4.71	2.02	1.78	11.17	6.57	6.05	-4.05	-17.99	4.14	-6.99
x4	-3.96	-5.95	6.72	-10.35	-5.53	-3.93	-3.25	-4.48	-2.92	-14.78	-12.19	2.94	-3.94	-10.09	-6.71	13.07	4.37	-10.26	-10.8	0.47	-3.7	15.87	2.58	-17.92	-19.86	-6.46	-5.64	-4.93	1.76	-5.71	-9.93	0.24	62.86	59.61	38.84	13.29	7.06	6.46	-20.37	-25.58	-34.19	-55.97	-86.08	-87.09	-94.94	19.23	3.96	-14.54	9.31	0.06	0.67	-3.94	10.56	-2.57	-7.67	1.2	3.1	13.37	6.68	-15.74	2.19	4	-9.12	5.12	4.73	-5.57	2.19	19.95	11.15	16.7	2.01	-12.32	-18.17	-7.34	3.18	3.21	16.75	3.53	-2.9	-12.03	-12.11	3.34	-5.2	-1.48	-4.45	16.57	-6.96	8.46	-5.01	-3.29	-9.98	-9.06	-12.28	-5.41	1.73	1.41	5.45	14.55	-3.61	-0.13
x5	0.38	-3.03	-16.16	-4.58	0.01	-4.49	-0.12	-8.29	22.87	0.91	10.73	-5.92	-11.69	17.67	9.21	-8.86	-3.73	-4.53	-12.86	-3.16	7.09	4.01	-2.09	-3.06	-4.96	7.27	-7.5	-13.33	-3.65	-3.08	8.92	13.28	4.17	-0.57	-27.95	-2.27	11.46	-11.78	0.17	-9.36	-5.68	4.41	5.89	-1.68	11.21	-4.13	-10.02	-0.96	-8.42	-16.01	2.84	-6.04	0.56	1.02	-6.02	-13.26	8.3	5.14	-0.37	-1.06	-2.52	-7.05	8.19	17.72	2.36	0.64	12.83	-11.63	1.88	5.63	2.93	0.69	1.5	-5.73	-5.91	4.21	-2.13	-13.39	33.56	10.26	1.62	10.2	-12.82	11.39	24.79	-9.95	4.61	-3.89	-6.59	-0.12	-13.08	7.09	16.11	0.68	-0.94	12.82	3.92	1.9	-4.85	-5.49
x6	-9.2	-0.87	-8.02	3.72	-4.52	-2.23	-0.4	1.23	-13.84	3.31	19.19	10.81	-12.72	-23.31	2.4	-7.11	-5.5	0.78	12.97	-7.44	16.15	9.02	-19.27	9.03	-24.64	8.91	4.9	4.81	-10.05	-13.89	-0.28	-0.62	12.18	1.48	-2.45	-5.08	0.73	2.74	5.26	4.89	4.84	7.09	14.29	-2.27	4.88	1.96	3.06	4.71	0.56	-12.88	-5.12	-15.09	-2.62	2.18	2.37	6.38	-9.41	-7.84	-28.91	-5.31	-0.03	-24.03	-19.29	-11.07	0.78	2.96	-8.24	4.45	2.62	-6.85	-8.27	18.43	5.81	13.76	-10.3	6.88	-17.18	-2.58	-2.53	13.82	-13.97	-21.5	-2.83	-0.24	-18.79	-12.57	-1.16	-12.39	-20.46	2.28	10	-3.88	6.02	8.27	-10.05	11.17	-14.67	10.02	-11.46	-1.35
x7	-2.31	-3.56	-13.79	2.77	0.92	0.44	88.3	79.62	32.04	28.85	-30.96	-36.51	-54.59	-60.71	-70.46	-86.8	-98.37	-7.74	5.43	-0.88	-4.99	-0.16	-8.36	-4.51	1.47	-1.96	10.94	22.35	-3.78	-5.06	-7.27	8.7	5.33	4	2.4	6.83	25.05	8.63	14.58	8.56	-10.17	12.68	8.28	0.9	-3.79	3.27	-2.66	2.58	4.24	-8.8	14.37	9.59	-6.66	2.29	11.06	8.08	-3.86	-10.52	-4.96	-8.44	-5.32	-6.25	-16.83	5.32	2.24	-6.17	-1.27	-5.11	-23.81	-9.9	-3.45	-4.21	3.54	2.6	-8.22	-9.68	6.03	15.86	4.58	1.15	-9.69	-4.7	-11.54	14.6	-15.67	-6.36	-2.64	18.04	-8.45	10.17	-5.22	-0.89	20.6	7.17	3.72	-5.05	1.08	-5.72	-4.44	0.2
x8	-17.64	-4.42	7.82	16.11	-19.26	10.51	-7.83	-5.73	-1.77	27.25	-2.32	2.52	8.58	10.24	-12.63	21.03	9.27	3.44	8.39	2.26	-5.36	9.83	-2.31	9.51	99.65	74.23	59.12	57.07	52.84	34.38	23.78	-7.47	-27.16	-28.29	-40.34	-40.57	-46.72	-48.49	-50.93	-79.5	-83.67	-84.13	2.14	-8.72	7.29	0.69	-7.73	12.59	2.29	9.42	0.17	4.85	7.64	-8.3	-19.31	-6.17	-7.22	-16.94	5.01	2.72	1.59	-3.08	-5	13.05	-8.71	-0.62	-0.62	-13.38	9.85	14.86	-11.91	-4.68	5.17	1.52	0.68	14.99	6.85	-9.95	-3.48	-3.36	-2.39	3.22	-3.61	-0.98	-6.85	21.34	-1.81	-3.97	3.77	11.36	5.31	13.38	-1.75	3.78	-9.71	-7.27	-5.9	14.5	0.19	0.07
x9	18.31	-4.91	-5.02	12.17	3.61	9.15	-3.43	4	0.59	8.87	-15.26	-7.34	1.64	-15.62	21.09	15.16	1.24	5.95	5.88	-3.71	-0.66	-8.41	7.07	3.88	-8.12	-0.68	0.89	-6.34	-6.2	-6.99	-1.25	3.14	-23.9	18.06	-10.18	-0.2	2.84	-5.22	1.78	16.13	11.49	-17.75	-2.16	-0.65	5.51	-6.44	0.88	11.14	-15.94	-12.08	20.72	13.68	-5.25	-7.22	-9.22	-3.49	7.66	8.75	-7.47	-3.25	-2.59	0.95	-18.61	-22.08	-9.05	-2.26	-6.22	19.71	-4.08	11.6	5.26	0.4	-12.03	2.85	-1.87	1.47	12.21	11.46	-8.72	-6.17	11.26	19.08	-6.43	26.45	8.83	6.2	12.54	-2.92	7.31	-7.4	-11.24	3.52	-4.34	-25.13	2.73	-6.05	4.02	14.37	-3.72	-16.16
