X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59	y60	y61	y62	y63	y64	y65	y66	y67	y68	y69	y70	y71	y72	y73	y74	y75	y76	y77	y78	y79	y80	y81	y82	y83	y84	y85	y86	y87	y88	y89	y90	y91	y92	y93	y94	y95	y96	y97	y98	y99
x0	46.57	46.57	52.56	46.57	46.57	52.56	46.57	66.32	52.56	-58	46.57	46.57	52.56	40.49	46.57	46.57	52.56	46.57	52.56	-7.83	46.57	46.57	46.57	52.56	52.56	46.57	-24.2	46.57	24.32	46.57	46.57	24.78	46.57	7.25	-24.35	52.56	2.49	19.66	46.57	46.57	52.56	5.8	46.57	46.57	-22.68	-25.5	46.57	46.57	46.57	52.56	-5.99	-9.97	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	-4.75	-5.99	-5.99	-5.99	-5.99	-5.99	-30.46	-5.99	52.56	52.56	52.56	-5.99	52.56	-32.95	52.56	4.52	52.56	-5.99	52.56	27.73	-5.99	48.12	-22.73	-16.76	52.56	52.56	-5.99	52.56	-5.99	40.09	-34.17	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x1	-19.15	-30.33	-11.47	-33.75	-15.72	1.49	9.69	-4.63	-8.08	-86.75	26.23	25.92	19.58	8.85	-0.16	-29.06	37.09	-67.9	23.22	-16.79	-15.08	35.66	-52.69	59.75	50	-33.23	19.34	24.51	-0.84	-22.68	6.35	-8.02	-4.25	9	11.61	-45.86	-53.4	7.3	10.39	5.22	57.77	44.54	32.57	-41.85	-4.58	-13.92	-74.8	26.58	-51.93	1.26	80.21	-0.78	31.37	14.49	-35.09	-22.89	-23.96	-9.83	-19.69	-12.09	32.22	39.59	26.91	19.07	20.6	-20.09	34.82	-12.33	4.66	21.71	-39.41	-9.77	8.99	-5.6	24.5	33.08	-39.77	-5.21	-8.93	6.17	16.56	35.01	-16.01	6.25	-15.18	29.74	-9.98	9.17	43.7	20.47	37.03	12.75	-11.71	-18.23	-2.04	17.97	42.81	-7.47	-41.74	-49.46
x2	46.57	46.57	52.56	46.57	46.57	52.56	46.57	-19.37	52.56	-9.14	46.57	46.57	52.56	12.4	46.57	46.57	52.56	46.57	52.56	-24.27	46.57	46.57	46.57	52.56	52.56	46.57	6.43	46.57	23.69	46.57	46.57	27.52	46.57	-57.09	-23.59	52.56	28.2	-37.42	46.57	46.57	52.56	13.38	46.57	46.57	26.44	-0.41	46.57	46.57	46.57	52.56	-5.99	11.35	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	-56.69	-5.99	-5.99	-5.99	-5.99	-5.99	16.56	-5.99	52.56	52.56	52.56	-5.99	52.56	-3.03	52.56	-23.08	52.56	-5.99	52.56	17.22	-5.99	52.25	10.52	-68.16	52.56	52.56	-5.99	52.56	-5.99	-13.51	-17.25	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x3	46.57	46.57	52.56	46.57	46.57	52.56	46.57	-27.5	52.56	-10.5	46.57	46.57	52.56	-28.7	46.57	46.57	52.56	46.57	52.56	31.1	46.57	46.57	46.57	52.56	52.56	46.57	4.98	46.57	-45.18	46.57	46.57	28.18	46.57	29.6	0.78	52.56	-27.4	-5.84	46.57	46.57	52.56	16.51	46.57	46.57	-16.76	-55.31	46.57	46.57	46.57	52.56	-5.99	35.65	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	-13.89	-5.99	-5.99	-5.99	-5.99	-5.99	38.04	-5.99	52.56	52.56	52.56	-5.99	52.56	-17.61	52.56	15.9	52.56	-5.99	52.56	-39.6	-5.99	-33.92	46.49	-22.82	52.56	52.56	-5.99	52.56	-5.99	45.29	59.76	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x4	52.56	52.56	52.56	52.56	52.56	52.56	52.56	-28.92	52.56	25.65	52.56	52.56	52.56	11.19	52.56	52.56	52.56	52.56	52.56	-8.25	52.56	52.56	52.56	52.56	52.56	52.56	17.27	52.56	43.86	52.56	52.56	19.46	52.56	53.21	26.06	52.56	-10.67	18.99	52.56	52.56	52.56	-21.08	52.56	52.56	45.78	14.63	52.56	52.56	52.56	52.56	14.07	-24.93	-2.8	52.56	-8.85	47.77	-25.56	37.44	50.86	6.52	-31.48	16.39	43.4	29.92	-28.31	33.55	52.56	52.56	52.56	46.37	52.56	54.68	52.56	3.56	52.56	5.87	52.56	35.64	-11.42	56.86	76.44	57.15	52.56	52.56	-30.91	52.56	3.26	68.1	17.57	21.23	52.56	-35.04	-0.52	-50.16	-19.58	52.56	-23.57	-23.22	51.51	52.56
x5	-7.42	-20.42	-14.81	-12.09	3.2	45.2	6.71	-45.84	4.76	-15.96	16.4	35.38	-27.13	-48.06	23.09	-18.17	-5.67	-9.66	-49.07	3.42	-64.97	50.34	36.27	-40.31	5.6	-53.23	26.49	-45.83	-33.56	-7.63	-39.33	16.52	6.84	-21.21	-21.73	-4.7	-19.4	-54.07	-7.66	-22.65	2.65	-9.73	55	-37.8	27	10.72	33.97	20.73	-44.83	36.41	-30.78	-15.83	1.99	-40.53	-52.37	8.9	-30.39	-11.4	65.2	17.11	-28.52	12.65	-24.6	-2.26	53.86	-9.4	17.98	-12.99	-35.53	16.71	12.57	37.75	36.17	65.14	-14.4	-29.99	62.38	15.53	12.08	16.67	-13.81	-2.27	-52.65	27.21	29.81	-4.58	-49.49	32.82	0.53	-17.3	33.17	1.73	-19.42	-13.21	34.14	9.91	4.12	-96.05	-9.46	-12.16
x6	46.57	46.57	52.56	46.57	46.57	52.56	46.57	9.08	52.56	-22.97	46.57	46.57	52.56	22.12	46.57	46.57	52.56	46.57	52.56	-36.05	46.57	46.57	46.57	52.56	52.56	46.57	34.68	46.57	-13.42	46.57	46.57	-18.6	46.57	-37.82	66.26	52.56	16.54	42.64	46.57	46.57	52.56	-45.38	46.57	46.57	66.65	-4.6	46.57	46.57	46.57	52.56	-5.99	-36.77	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	11.63	-5.99	-5.99	-5.99	-5.99	-5.99	-14.58	-5.99	52.56	52.56	52.56	-5.99	52.56	4.62	52.56	11.01	52.56	-5.99	52.56	47.05	-5.99	-86.7	-23.76	5.84	52.56	52.56	-5.99	52.56	-5.99	-9.14	30.32	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x7	46.57	46.57	52.56	46.57	46.57	52.56	46.57	-44.18	52.56	39.75	46.57	46.57	52.56	86.4	46.57	46.57	52.56	46.57	52.56	-2.34	46.57	46.57	46.57	52.56	52.56	46.57	36.81	46.57	37.65	46.57	46.57	-25.6	46.57	-22.5	-9.13	52.56	24.74	15.51	46.57	46.57	52.56	-18.31	46.57	46.57	11.19	-43.36	46.57	46.57	46.57	52.56	-5.99	17.97	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	-31.56	-5.99	-5.99	-5.99	-5.99	-5.99	11.24	-5.99	52.56	52.56	52.56	-5.99	52.56	0.25	52.56	-41.23	52.56	-5.99	52.56	-13.9	-5.99	35.43	33.11	16.1	52.56	52.56	-5.99	52.56	-5.99	42.67	1.6	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
x8	52.56	52.56	52.56	52.56	52.56	52.56	52.56	-52.95	52.56	-29.85	52.56	52.56	52.56	-22.46	52.56	52.56	52.56	52.56	52.56	-40.4	52.56	52.56	52.56	52.56	52.56	52.56	-21.21	52.56	-19.4	52.56	52.56	56.98	52.56	-17.14	18.08	52.56	34.72	-37.63	52.56	52.56	52.56	-7.18	52.56	52.56	-23.53	-22.51	52.56	52.56	52.56	52.56	-28.35	-61.84	8.38	52.56	-10.11	30.35	-1.54	-62.44	21.76	-39.38	39.34	17.51	51	-6.15	-13.07	-5.41	52.56	52.56	52.56	21.9	52.56	-8.57	52.56	35.88	52.56	25.18	52.56	50.26	15.07	-7.76	-21.26	8.49	52.56	52.56	-13.3	52.56	28.03	45.25	11.89	15.74	52.56	-32.61	80.48	-18.01	59.42	52.56	55.44	-16.18	-3.49	52.56
x9	46.57	46.57	52.56	46.57	46.57	52.56	46.57	0.06	52.56	-26.73	46.57	46.57	52.56	-53.65	46.57	46.57	52.56	46.57	52.56	-23.66	46.57	46.57	46.57	52.56	52.56	46.57	-13.39	46.57	4.02	46.57	46.57	5.86	46.57	-45.17	-14.47	52.56	65.85	-12.02	46.57	46.57	52.56	59.43	46.57	46.57	-5.49	3.87	46.57	46.57	46.57	52.56	-5.99	28.94	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	9.79	-5.99	-5.99	-5.99	-5.99	-5.99	-25.51	-5.99	52.56	52.56	52.56	-5.99	52.56	44.95	52.56	-1.87	52.56	-5.99	52.56	19.17	-5.99	-65.32	25.42	3.34	52.56	52.56	-5.99	52.56	-5.99	8.29	-31.7	-5.99	52.56	-5.99	-5.99	-5.99	-5.99	52.56	-5.99	-5.99	-5.99	52.56
